administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues,specialday,month,operatingsystems,browser,region,traffictype,visitortype,weekend,revenue,operatingsystems_missing,browser_missing,traffictype_missing
2,47.5,0,0.0,19,1203.480714,0.0,0.027421222000000002,6.74850856,0.0,11,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,7,152.0,0.0,0.033333333,0.0,0.0,12,2,2,6,2,Returning_Visitor,0,0,0,0,0
7,206.5,1,389.9,95,4415.889952,0.000132986,0.033750056,2.676061563,0.0,11,2,2,1,2,Returning_Visitor,0,0,0,0,0
1,18.25857143,0,0.0,103,8305.048706,0.0048707509999999996,0.034746107000000005,6.824907715,0.0,11,2,2,1,2,Returning_Visitor,1,1,0,0,0
0,0.0,0,0.0,42,1305.108333,0.016068006,0.039742145,0.0,0.0,12,2,2,5,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,26,1355.595434,0.00952387,0.02759692,7.507458678,0.0,12,2,2,6,2,Returning_Visitor,0,0,0,0,0
11,244.5,2,746.5,138,3724.9765479999996,0.0009453860000000001,0.015263678999999999,49.5372686,1.0,5,1,1,1,1,Returning_Visitor,1,0,0,0,0
0,0.0,0,0.0,4,0.0,0.2,0.2,0.0,0.0,5,2,2,3,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,2,208.9,0.0,0.037141857,0.0,0.0,6,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,11,10,10,7,10,Returning_Visitor,0,0,0,0,0
3,91.0,0,0.0,23,1476.5,0.00809,0.022429576,24.14435111,0.0,11,1,1,6,1,Returning_Visitor,0,0,0,0,0
7,158.0,0,0.0,25,270.75,0.0,0.010626306,0.0,0.0,3,2,2,4,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,20,836.5,0.0,0.018750909,0.0,0.0,12,5,5,3,5,Returning_Visitor,0,0,0,0,0
2,151.0,5,443.0,13,1610.0,0.0122,0.02905,44.859605,0.0,3,7,7,1,7,Returning_Visitor,1,1,0,0,0
4,168.5,0,0.0,26,1944.5,0.013601705,0.05,0.0,0.6,5,2,2,1,2,Returning_Visitor,0,0,0,0,0
0,0.0,0,0.0,7,122.0,0.0,0.028571429,0.0,0.0,12,2,2,2,2,Returning_Visitor,0,0,0,0,0
